seed,patient_id,model,gt_nonempty,pred_nonempty,dice,hd95,fnr,fpr
0,BraTS2021_00147,2d_bce_dice,True,True,0.952,2.000,0.000,0.154
0,BraTS2021_00147,2d_boundary,True,True,0.948,1.414,0.000,0.185
0,BraTS2021_00147,25d_bce_dice,True,True,0.951,1.414,0.011,0.000
0,BraTS2021_00147,25d_boundary,True,True,0.953,1.414,0.000,0.169
0,BraTS2021_00266,2d_bce_dice,True,True,0.947,4.000,0.014,0.140
0,BraTS2021_00266,2d_boundary,True,True,0.950,3.162,0.000,0.163
0,BraTS2021_00266,25d_bce_dice,True,True,0.950,3.606,0.029,0.012
0,BraTS2021_00266,25d_boundary,True,True,0.952,3.606,0.000,0.198
0,BraTS2021_00620,2d_bce_dice,True,True,0.952,2.236,0.013,0.039
0,BraTS2021_00620,2d_boundary,True,True,0.966,1.414,0.000,0.105
0,BraTS2021_00620,25d_bce_dice,True,True,0.964,1.414,0.000,0.000
0,BraTS2021_00620,25d_boundary,True,True,0.962,1.414,0.000,0.158
0,BraTS2021_00656,2d_bce_dice,True,True,0.919,40.752,0.369,0.077
0,BraTS2021_00656,2d_boundary,True,True,0.947,41.188,0.350,0.096
0,BraTS2021_00656,25d_bce_dice,True,True,0.953,43.959,0.398,0.019
0,BraTS2021_00656,25d_boundary,True,True,0.948,30.610,0.291,0.135
0,BraTS2021_00679,2d_bce_dice,True,True,0.892,6.708,0.000,0.076
0,BraTS2021_00679,2d_boundary,True,True,0.954,1.732,0.000,0.076
0,BraTS2021_00679,25d_bce_dice,True,True,0.943,3.000,0.000,0.000
0,BraTS2021_00679,25d_boundary,True,True,0.947,2.236,0.000,0.061
0,BraTS2021_00797,2d_bce_dice,True,True,0.947,3.317,0.041,0.017
0,BraTS2021_00797,2d_boundary,True,True,0.953,2.449,0.041,0.155
0,BraTS2021_00797,25d_bce_dice,True,True,0.949,2.449,0.031,0.034
0,BraTS2021_00797,25d_boundary,True,True,0.950,2.449,0.021,0.190
0,BraTS2021_01093,2d_bce_dice,True,True,0.954,2.000,0.028,0.012
0,BraTS2021_01093,2d_boundary,True,True,0.948,2.000,0.000,0.024
0,BraTS2021_01093,25d_bce_dice,True,True,0.948,2.000,0.056,0.000
0,BraTS2021_01093,25d_boundary,True,True,0.952,2.000,0.000,0.120
0,BraTS2021_01112,2d_bce_dice,True,True,0.970,1.414,0.054,0.012
0,BraTS2021_01112,2d_boundary,True,True,0.976,1.414,0.014,0.049
0,BraTS2021_01112,25d_bce_dice,True,True,0.968,1.414,0.027,0.000
0,BraTS2021_01112,25d_boundary,True,True,0.971,1.414,0.000,0.062
0,BraTS2021_01126,2d_bce_dice,True,True,0.973,1.414,0.014,0.116
0,BraTS2021_01126,2d_boundary,True,True,0.979,1.000,0.000,0.186
0,BraTS2021_01126,25d_bce_dice,True,True,0.979,2.236,0.000,0.023
0,BraTS2021_01126,25d_boundary,True,True,0.978,1.414,0.000,0.186
0,BraTS2021_01496,2d_bce_dice,True,True,0.932,3.464,0.033,0.141
0,BraTS2021_01496,2d_boundary,True,True,0.933,2.449,0.022,0.109
0,BraTS2021_01496,25d_bce_dice,True,True,0.928,3.317,0.044,0.000
0,BraTS2021_01496,25d_boundary,True,True,0.926,3.000,0.022,0.125
0,BraTS2021_01657,2d_bce_dice,True,True,0.955,2.000,0.000,0.029
0,BraTS2021_01657,2d_boundary,True,True,0.965,1.414,0.000,0.057
0,BraTS2021_01657,25d_bce_dice,True,True,0.965,1.414,0.000,0.029
0,BraTS2021_01657,25d_boundary,True,True,0.970,1.000,0.000,0.057
1,BraTS2021_00031,2d_bce_dice,True,True,0.912,4.000,0.023,0.000
1,BraTS2021_00031,2d_boundary,True,True,0.861,6.000,0.023,0.145
1,BraTS2021_00031,25d_bce_dice,True,True,0.892,5.000,0.058,0.000
1,BraTS2021_00031,25d_boundary,True,True,0.926,3.464,0.000,0.043
1,BraTS2021_00206,2d_bce_dice,True,True,0.852,10.100,0.119,0.000
1,BraTS2021_00206,2d_boundary,True,True,0.842,23.319,0.000,0.133
